age;Mspline
2;-0.0603261180305465
2.25;-0.0589241458545473
2.5;-0.0575219846046373
2.75;-0.0561194452069063
3;-0.0547163385874443
3.25;-0.0533125373454815
3.5;-0.0519080044024767
3.75;-0.0505026454696442
4;-0.049096365985414
4.25;-0.0476890714578579
4.5;-0.0462806673938911
4.75;-0.0448710593004198
5;-0.0434601526855469
5.25;-0.0420478532334934
5.5;-0.0406340241219096
5.75;-0.0392183597823363
6;-0.0378005108151989
6.25;-0.0363801279969778
6.5;-0.0349568621053864
6.75;-0.0335303639178344
7;-0.0321002842117277
7.25;-0.0306662737644747
7.5;-0.029227983353481
7.75;-0.0277850637561543
8;-0.0263371657499016
8.25;-0.024883940112129
8.5;-0.0234250376202487
8.75;-0.0219601090513506
9;-0.0204888051837777
9.25;-0.0190107767267103
9.5;-0.0175257567825895
9.75;-0.0160340518281834
10;-0.0145362133512394
10.25;-0.0130327936857459
10.5;-0.0115243451645597
10.75;-0.0100114201208181
11;-0.00849457088766137
11.25;-0.00697434979822642
11.5;-0.00545130918565295
11.75;-0.00392600138308108
12;-0.00239897872364647
12.25;-0.000870793540487913
12.5;0.0006580018332496
12.75;0.00218685506246086
13;0.00371521381992501
13.25;0.00524252471103193
13.5;0.00676820577364445
13.75;0.00829124872664844
14;0.00981035864100344
14.25;0.0113242340974664
14.5;0.0128315734278948
14.75;0.0143310750274273
15;0.015821437290362
15.25;0.017301358611197
15.5;0.0187695373844456
15.75;0.0202246720046033
16;0.0216654608661848
16.25;0.0230906023635749
16.5;0.0244987948916213
16.75;0.0258887368766163
17;0.0272591266167987
17.25;0.0286086644974066
17.5;0.0299360559362065
17.75;0.0312403684353821
18;0.0325210474128337
18.25;0.0337775606619339
18.5;0.0350093754943854
18.75;0.0362159593878673
19;0.03739677981399
19.25;0.0385513042200341
19.5;0.0396790000639506
19.75;0.0407793348036605
20;0.0418517758970371
20.25;0.042895790801853
20.5;0.0439108469760248
20.75;0.0448964118789803
21;0.0458519529635919
21.25;0.0467769378471803
21.5;0.0476708353357327
21.75;0.0485332727668428
22;0.0493641542845564
22.25;0.0501634124338786
22.5;0.0509309797381796
22.75;0.0516667887260662
23;0.0523707719263204
23.25;0.0530428618676204
23.5;0.0536829910787158
23.75;0.0542910920882975
24;0.0548670974251086
24.25;0.0554109396178202
24.5;0.0559225511951968
24.75;0.056401864685927
25;0.0568488126187323
25.25;0.057263327515344
25.5;0.0576453419666989
25.75;0.0579948320479651
26;0.0583118998894907
26.25;0.0585966703183494
26.5;0.0588492681487125
26.75;0.059069818198088
27;0.0592584452838758
27.25;0.0594152742235226
27.5;0.059540429834454
27.75;0.0596340369341153
28;0.0596962203399425
28.25;0.059727104869375
28.5;0.0597268153398112
28.75;0.0596954765686517
29;0.0596332133736359
29.25;0.0595401505782318
29.5;0.0594164129808163
29.75;0.0592621651211576
30;0.0590777664076065
30.25;0.0588636361802499
30.5;0.0586201937055795
30.75;0.0583478582722403
31;0.0580470491690148
31.25;0.0577181856846174
31.5;0.0573616871078433
31.75;0.0569779727273838
32;0.0565674618320404
32.25;0.056130573710496
32.5;0.0556677276514641
32.75;0.0551793429436724
33;0.0546658388763173
33.25;0.0541276347731876
33.5;0.0535651498163503
33.75;0.0529788269223577
34;0.0523693091472222
34.25;0.0517373423989822
34.5;0.0510836729297273
34.75;0.0504090471066099
35;0.0497142112974305
35.25;0.0489999118698554
35.5;0.048266895191504
35.75;0.0475159076300629
36;0.0467476955531496
36.25;0.0459630053283844
36.5;0.0451625833234397
36.75;0.0443471759059859
37;0.0435175294436529
37.25;0.0426743903028886
37.5;0.0418185048549038
37.75;0.0409506122929431
38;0.0400713343194741
38.25;0.0391811965497468
38.5;0.038280721806673
38.75;0.0373704329078599
39;0.0364508526703866
39.25;0.0355225039115821
39.5;0.034585909448579
39.75;0.0336415920987099
40;0.0326900746791816
40.25;0.0317318800073143
40.5;0.0307675308998512
40.75;0.0297975501743228
41;0.0288224606493839
41.25;0.0278427848875209
41.5;0.026859044954695
41.75;0.0258717644727429
42;0.0248813096856479
42.25;0.0238878675567524
42.5;0.0228916075004544
42.75;0.0218926999819788
43;0.0208913153125638
43.25;0.0198876238282564
43.5;0.0188817958703678
43.75;0.01787400178035
44;0.0168644118995465
44.25;0.0158531965693607
44.5;0.0148405261312785
44.75;0.0138265709266343
45;0.012811501296881
45.25;0.0117954875811042
45.5;0.0107787001138955
45.75;0.00976130908413353
46;0.00874345575269952
46.25;0.00772522092049988
46.5;0.00670667779255529
46.75;0.00568789957808935
47;0.00466895948087354
47.25;0.00364993070499198
47.5;0.00263088645520648
47.75;0.00161189993638899
48;0.000593044352981131
48.25;-0.000425607090291713
48.5;-0.00144398118884936
48.75;-0.00246200473725899
49;-0.00347960454390295
49.25;-0.00449670738651431
49.5;-0.0055132400430713
49.75;-0.0065291291667573
50;-0.00754431535400535
50.25;-0.00855878442302682
50.5;-0.00957253301483796
50.75;-0.0105855575915101
51;-0.0115978546118152
51.25;-0.0126094205359562
51.5;-0.013620251823697
51.75;-0.0146303449351004
52;-0.0156396963300534
52.25;-0.0166483024684512
52.5;-0.0176561598101057
52.75;-0.0186632648147462
53;-0.0196696139433286
53.25;-0.020675203781181
53.5;-0.0216800306602587
53.75;-0.0226840907559858
54;-0.0236873768803783
54.25;-0.0246898576289833
54.5;-0.0256914926894547
54.75;-0.0266922418081994
55;-0.0276920647496741
55.25;-0.0286909212688271
55.5;-0.0296887711225935
55.75;-0.0306855740678009
56;-0.0316812898614645
56.25;-0.0326758782604677
56.5;-0.0336692990219243
56.75;-0.0346615118785492
57;-0.0356524766595148
57.25;-0.0366421538546899
57.5;-0.0376305091252847
57.75;-0.0386174908110322
58;-0.0396030443436697
58.25;-0.0405870936932677
58.5;-0.041569491796059
58.75;-0.0425501034318319
59;-0.043528793696427
59.25;-0.0445054266596774
59.5;-0.0454798668324652
59.75;-0.046451978701191
60;-0.0474216267435286
60.25;-0.0483886754411196
60.5;-0.0493529892761657
60.75;-0.0503144327274043
61;-0.0512728702793734
61.25;-0.0522281663723234
61.5;-0.0531801855021521
61.75;-0.0541287923846956
62;-0.0550738523958083
62.25;-0.0560152595160046
62.5;-0.0569529344332969
62.75;-0.0578867989474126
63;-0.0588167748701678
63.25;-0.0597427840170086
63.5;-0.0606647482016398
63.75;-0.0615825892364925
64;-0.0624962289339965
64.25;-0.063405589106643
64.5;-0.0643105915671685
64.75;-0.0652111581287262
65;-0.0661072106039451
65.25;-0.0669986708247245
65.5;-0.0678854605465906
65.75;-0.068767502259949
66;-0.0696447161142912
66.25;-0.0705170876202335
66.5;-0.0713846894303853
66.75;-0.0722476007105879
67;-0.073105903102872
67.25;-0.0739596775457634
67.5;-0.074809004887527
67.75;-0.0756539659968514
68;-0.0764946417442744
68.25;-0.0773311129997629
68.5;-0.078163460633216
68.75;-0.0789917655149597
69;-0.0798161085145956
69.25;-0.0806365704944976
69.5;-0.0814532323483661
69.75;-0.0822661750192366
70;-0.0830754787660988
70.25;-0.0838812311318549
70.5;-0.0846835289654879
70.75;-0.0854824737110289
71;-0.0862781660936323
71.25;-0.0870707065585519
71.5;-0.0878601957533314
71.75;-0.088646734301999
72;-0.0894304228266862
72.25;-0.0902113619490872
72.5;-0.0909896522914884
72.75;-0.0917653944762948
73;-0.0925386891252815
73.25;-0.0933096368606496
73.5;-0.0940783383045436
73.75;-0.0948448940814353
74;-0.0956094048071043
74.25;-0.096371968768544
74.5;-0.0971326742237184
74.75;-0.0978916068972664
75;-0.0986488524816829
75.25;-0.0994044966512417
75.5;-0.100158625100986
75.75;-0.100911323511718
76;-0.101662677556924
76.25;-0.102412772953461
76.5;-0.10316169538539
76.75;-0.1039095302419
77;-0.10465636405872
77.25;-0.105402279041522
77.5;-0.106147378631609
77.75;-0.106891763733239
78;-0.107635488117214
78.25;-0.108378602330363
78.5;-0.109121156919516
78.75;-0.109863202431504
79;-0.110604789413157
79.25;-0.111345967234301
79.5;-0.112086767653293
79.75;-0.112827208948383
80;-0.113567321594579
